Artist URI|Artist Name|Album URI
3WaJSfKnzc65VDgmj2zU8B|Interpol|22DVAydYXgXK1yxNZffMp9
3WaJSfKnzc65VDgmj2zU8B|Interpol|1JrW3lw0u811fD56pO4OVe
3WaJSfKnzc65VDgmj2zU8B|Interpol|5UnsaqNqUIMgavV6OSWXhr
5qE6uo1VBle1ZfOHo9VBLD|June Kuramoto|7q0AkTtIXjGJOxFZMuPSer
1r1xUUn8iF9QQjwCfn12PP|Knoxville Girls|4pLzmvVzNF50TvYdGS8uv5
1r1xUUn8iF9QQjwCfn12PP|Knoxville Girls|7fSM7ATtljqyB5kinCZf0Q
1r1xUUn8iF9QQjwCfn12PP|Knoxville Girls|5bvUWorp29i40C59BoRZSg
1r1xUUn8iF9QQjwCfn12PP|Knoxville Girls|0m1ZNxkxs81Pbd6I3cu4CR
6Uhp7WA6sjm5ZL6Xz561de|Living Colour|0gfHH6SESJ9Vz7aRL9mhVD
6Uhp7WA6sjm5ZL6Xz561de|Living Colour|5ocaCKcsA1wllIg9yZ475q
6Uhp7WA6sjm5ZL6Xz561de|Living Colour|2YBGtxvl70bfiXQtdxp9Gy
6Uhp7WA6sjm5ZL6Xz561de|Living Colour|1iTg8DHF3PrLDOXTAIkohW
6Uhp7WA6sjm5ZL6Xz561de|Living Colour|6oOr3Jd1S3rtVGgNpNthL9
